Symbol,LTP,%Change,Open,High,Low,Qty,PClose,Diff
SARBTM,864.6,0.53,855.1,865,851.5,"7,276",860,4.6
SBCF,8.89,-1.22,9,9,8.86,"3,550",9,-0.11
SBD87,"1,090.10",-0.68,"1,097.60","1,097.60","1,090.10",35,"1,097.60",-7.5
SBI,394.8,-1.03,399.5,399.5,389.3,"14,933",398.9,-4.1
SBID2090,"1,074.10",0.38,"1,074.00","1,074.10","1,074.00",50,"1,070.00",4.1
SBL,348,0,348,350,343,"37,745",348,0
SBLD2091,"1,121.80",1.98,"1,099.00","1,121.80","1,099.00",210,"1,100.00",21.8
SCB,621,-0.32,625,626,619,"17,924",623,-2
SCBD,"1,190.00",0,"1,190.00","1,190.00","1,190.00",25,"1,190.00",0
SEF,9.3,1.09,9.38,9.38,9.13,"124,500",9.2,0.1
SFCL,393.4,-1.63,399.9,402,393.2,"11,493",399.9,-6.5
SFEF,9.26,-0.43,9.25,9.4,9.25,"20,400",9.3,-0.04
SFMF,10.01,0.2,9.99,10.01,9.99,"6,365",9.99,0.02
SGHC,386,-3.26,395,400,386,"24,061",399,-13
SGIC,477.9,0.29,485,485,468.5,"6,384",476.5,1.4
SHEL,285.8,-1.07,290,290,285.3,"83,793",288.9,-3.1
SHINE,396,-0.15,395.2,399.9,394,"18,265",396.6,-0.6
SHIVM,572.8,0.14,572.2,579,570,"79,174",572,0.8
SHL,479.7,-0.06,470.4,485.1,470.4,"11,295",480,-0.3
SHLB,"1,690.10",-1.16,"1,677.00","1,712.00","1,675.80",960,"1,710.00",-19.9
SHPC,529.2,0.23,527,536.9,527,"98,862",528,1.2
SICL,630,-0.47,645,645,622,"5,095",633,-3
SIFC,504.9,-1.58,519,519,499.9,"18,803",513,-8.1
SIGS2,9.4,-1.57,9.55,9.55,9.4,"10,500",9.55,-0.15
SIGS3,9.39,-0.11,9.4,9.4,9.37,500,9.4,-0.01
SIKLES,564.5,-1.31,572,579,561.4,"23,767",572,-7.5
SINDU,745,1.36,723,750,718.1,"51,986",735,10
SJCL,295,2.43,285,299.9,284.3,"17,345",288,7
SJLIC,463,0.43,452.1,468,452.1,"62,559",461,2
SKBBL,867,-0.53,872,872,865.1,"14,388",871.6,-4.6
SLBBL,903.7,0.28,906.1,915,902.3,"10,136",901.2,2.5
SLBSL,"1,300.10",-0.53,"1,296.10","1,309.00","1,296.10","1,407","1,307.00",-6.9
SLCF,9.23,-0.11,9.1,9.23,9.02,"28,250",9.24,-0.01
SMATA,811,-0.86,818,819,808.1,"5,224",818,-7
SMB,"2,040.00",-5.16,"2,108.00","2,108.00","1,935.90","12,702","2,151.00",-111
SMFBS,"1,740.00",2.29,"1,701.00","1,740.00","1,701.00","3,579","1,701.00",39
SMH,772,-0.77,763,778,750,"1,764",778,-6
SMHL,715,-1.38,723,729,712,"9,439",725,-10
SMJC,503.1,-0.38,504.5,508,499,"8,889",505,-1.9
SMPDA,924.8,-1.3,918.3,932,914,"11,300",937,-12.2
SNLI,494.2,-0.16,503.9,503.9,492,"31,382",495,-0.8
SONA,427,0.95,420,429.9,420,"22,739",423,4
SPC,489.8,-0.04,484,494,483,"7,532",490,-0.2
SPDL,418,-0.45,415,423,414.3,"106,023",419.9,-1.9
SPHL,528,-1.49,527.1,540,527,"4,157",536,-8
SPIL,719.9,-0.57,710.2,720,709.6,"8,105",724,-4.1
SPL,908,-0.66,896,908,879,927,914,-6
SRLI,396,-0.63,395,402.5,395,"27,640",398.5,-2.5
SSHL,163.8,-0.12,164,165,162.5,"45,703",164,-0.2
STC,"5,390.00",0.47,"5,300.00","5,399.00","5,300.00",862,"5,365.00",25
SWASTIK,"1,445.00",9.99,"1,313.60","1,445.00","1,313.60",150,"1,313.70",131.3
SWBBL,788,-0.88,780,788,779.9,"4,465",795,-7
SWMF,690,-0.58,694,703,686,"1,893",694,-4
TAMOR,470.6,0.13,465,472,463,"6,745",470,0.6
TPC,349,3.41,337.1,353.7,337.1,"122,637",337.5,11.5
TRH,700,-0.44,704,704,696.1,"2,351",703.1,-3.1
TSHL,697.9,-0.16,686,699,681.9,"3,543",699,-1.1
TTL,807,-2.06,820,837.5,801.1,"59,698",824,-17
TVCL,429.4,-1.2,426,434,421.1,"6,183",434.6,-5.2
UAIL,452.3,-1.67,455,460,452.1,"11,572",460,-7.7
UHEWA,590,0.34,585,607,585,"10,562",588,2
ULBSL,"3,633.90",-2.76,"3,665.20","3,666.00","3,400.10","2,446","3,736.90",-103
ULHC,458.5,1.21,450,462,450,"17,501",453,5.5
UMHL,570,-0.35,560.6,571.8,560.6,"86,506",572,-2
UMRH,562.5,-1.3,579.6,579.8,561,"4,670",569.9,-7.4
UNHPL,491,0.97,492,498,485,"130,446",486.3,4.7
UNL,"47,000.00",1.08,"47,420.00","47,420.00","47,000.00",27,"46,500.00",500
UNLB,"1,968.00",0.15,"1,925.70","1,968.00","1,900.00",323,"1,965.00",3
UPCL,374.4,2.02,374.3,375,361.1,"192,615",367,7.4
UPPER,174.7,-0.51,175,176.7,174.5,"74,595",175.6,-0.9
USHEC,466,0.52,463,470,460,"23,588",463.6,2.4
USHL,774.6,10,690.2,774.6,690.2,"49,432",704.2,70.4
USLB,"1,540.00",-3.08,"1,600.00","1,600.00","1,540.00","10,421","1,589.00",-49
VLBS,770.1,-1.16,779,789.9,765.1,"1,227",779.1,-9
VLUCL,564,0.71,549.1,573,549,"13,484",560,4
WNLB,"1,946.00",-0.46,"1,931.00","1,959.00","1,930.40",662,"1,955.00",-9
